brand,slug,category,country,active_start,active_end,fate,summary,wikipedia_url
Orkut,orkut,Software/Internet,US,2004,2014,Orkut was an early social network that shaped online life in Brazil and India before Google shut it down. ,"**Orkut** was Google’s first major social network, launched in **2004** and wildly popular in **Brazil** and **India**. It centered on **communities**, **scraps** (public messages), **testimonials**, and photo sharing—years before Facebook became dominant worldwide. As Google redirected effort to newer products (Buzz, then Google+), Orkut stagnated and was **shut down September 30, 2014**. Its cultural footprint remains strongest in Brazil and India, where ‘scraps’ and Orkut communities defined the mid-2000s social web.",https://en.wikipedia.org/wiki/Orkut
Palm,palm,Mobile devices,US,1992,2011,"HP announced an agreement to acquire Palm on April 28, 2010 and completed the deal on July 1, 2010. HP later announced on August 18, 2011 that it would discontinue webOS device operations. The webOS software business was sold to LG in 2013, and parts of Palm's patent portfolio were sold to Qualcomm in 2014.","Palm was a pioneering handheld computing company known for the PalmPilot, Treo, and Palm Pre. Founded in 1992, it became one of the defining brands of the PDA era and later pushed into smartphones with Treo and webOS devices. HP acquired Palm in 2010 for about 1.2 billion dollars, then wound down webOS hardware in 2011 after weak commercial performance.",
Pan Am,pan-am,Aviation,US,1927,1991,"Filed Chapter 11 in 1991 and ceased operations on Dec 4, 1991 amid losses, asset sales, and a failed reorganization.",,https://en.wikipedia.org/wiki/Pan_American_World_Airways
Peanut Butter Twix,peanut-butter-twix,Food/Confectionery,US,1980s,Present (intermittent),"Still part of the broader Twix flavor lineup, but its shelf presence has varied over time. Mars has brought it back after previous gaps in distribution, including a confirmed return in 2017.","Peanut Butter Twix is a U.S. Twix variation that replaces the usual caramel layer with peanut butter. Over the years it has gone in and out of wide distribution, which is why many shoppers remember it as a candy bar that keeps disappearing and returning. Mars confirmed another return in 2017, and the flavor remains one of the best-known Twix variants outside the original caramel bar.",
Pebble,pebble,Wearables,US,2012,2016,Core assets acquired by Fitbit in Dec 2016; Pebble hardware discontinued and cloud services later sunset.,"Crowdfunding-era smartwatch pioneer best known for long battery life, e-paper displays, and a vibrant developer community. Acquired by Fitbit in 2016; products discontinued.",https://en.wikipedia.org/wiki/Pebble_(watch)
Pet Society,pet-society,Games/Social Media,US,2008,2013,"Shut down June 14, 2013 by Playfish/EA after 5 years; servers permanently closed despite being one of Facebook's most popular games with tens of millions of players","Virtual pet game on Facebook by Playfish where players adopted pets, decorated homes, played mini-games, and visited friends. Launched 2008, reached 70+ million players at peak before EA shut it down in 2013, devastating the massive player base.",
Pets.com,pets-com,E-commerce,US,1998,2000,Liquidated in late 2000 after rapid burn and weak unit economics; brand assets sold off.,"Dot-com era pet-supply e-tailer famous for the sock-puppet mascot. Launched in 1998, went public in 2000, and shut down the same year amid unsustainable shipping costs and thin margins.",https://en.wikipedia.org/wiki/Pets.com
Pizzarias,pizzarias-chips,Food/Snacks,US,1991,2002,Discontinued around 2002 by Keebler after more than a decade of production; never officially relaunched despite ongoing fan requests,Pizza-flavored tortilla chips produced by Keebler from 1991 to approximately 2002. Featured bold pizza seasoning and came in varieties like Supreme and Zesty Pepperoni. Became cult snack among 90s kids before quiet discontinuation.,
Red Bull Red Edition (Cranberry),red-bull-red-edition-cranberry,Beverages/Energy Drinks,US,2013,2020,Cranberry Red Edition discontinued in the U.S. and effectively replaced by Red Edition Watermelon around 2020.,"Red Bull’s first Red Edition launched as **Cranberry** in 2013 and built a steady following. In the U.S., the ‘Red Edition’ later switched to **Watermelon** (keeping the Red Edition name), and cranberry disappeared from shelves by ~2020. Today, Red Edition in the U.S. means Watermelon; cranberry is considered discontinued here.",
Restaurant City,restaurant-city,Video games and consoles,"UK (Playfish), US (EA)",2009,2012,Restaurant City was a cheerful Facebook game that let players build dream restaurants before EA shut it down in 2012.,"Restaurant City was a social restaurant simulation game created by Playfish for Facebook. It entered public beta on April 28, 2009 and let players design restaurants, hire staff, collect ingredients, and visit friends. Electronic Arts acquired Playfish in November 2009 and the game was retired on June 29, 2012.",
Ritz Camera,ritz-camera,,US,1918,2012,"Filed for bankruptcy twice (2009, 2012) amid the digital photography transition; most U.S. stores closed or sold; brand assets later operated online under new ownership.",Century-old camera and photo-finishing retailer known for one-hour labs and mall shops; collapsed after the transition to digital imaging and two bankruptcies.,https://en.wikipedia.org/wiki/Ritz_Camera_%26_Image
Salon Selectives,salon-selectives,Consumer Products/Beauty,US,1987,2006,Discontinued in mid-2000s as parent company Unilever streamlined hair care portfolio,Premium drugstore shampoo and conditioner line by Helene Curtis that promised salon-quality formulas at affordable prices. Discontinued after nearly 20 years when Unilever consolidated brands.,
Sam Goody,sam-goody,Retail/Entertainment,US,1951,2006,U.S. chain largely shuttered after The Musicland Group’s 2006 bankruptcy; many stores closed or converted to FYE under new ownership,"Mall-era music retailer known for deep CD/cassette selection, singles, and chart walls; most stores disappeared after Musicland’s 2006 bankruptcy and subsequent conversions.",https://en.wikipedia.org/wiki/Sam_Goody
Sears (Canada),sears-canada,Retail,CA,1952,2018,Liquidation,Canadian department store chain liquidated in 2018.,https://en.wikipedia.org/wiki/Sears_Canada
Sega Dreamcast,sega-dreamcast,Video game consoles,JP,1998,2001,Sega discontinued Dreamcast hardware in 2001 and exited the console business to become a third-party publisher.,"Sega’s final home console (launched 1998 JP, 1999 NA) known for built-in online play, inventive first-party titles, and the VMU. Discontinued in 2001 as Sega left the hardware market.",https://en.wikipedia.org/wiki/Dreamcast
Seven Up (Candy Bar),seven-up-candy-bar,Food/CPG,US,1930,1979,Discontinued in 1979; no official relaunch since.,"Pearson’s **Seven Up** was a segmented milk-chocolate bar introduced in the 1930s. The bar was molded into seven small chambers, each holding a different filling. Lineups varied over time, but fan-favorite centers often included coconut, butterscotch caramel, buttercream, fudge, Brazil nut, cherry cream, and orange jelly. Production ended in 1979, though the bar still inspires intense nostalgia among candy collectors.",
Sierra Mist Cranberry Splash,sierra-mist-cranberry-splash,Beverages/Non-alcoholic,US,2006,2016,Discontinued around 2016 after years of seasonal releases; Sierra Mist brand itself replaced by Starry in 2023,Seasonal cranberry-flavored variant of Sierra Mist lemon-lime soda released by PepsiCo annually during holidays from 2006-2016. Featured bright red color and tart cranberry-citrus flavor that developed cult following before quiet discontinuation.,
Silicon Valley Bank,silicon-valley-bank,Finance/Banking,US,1983,2023,Closed by regulators; placed into FDIC receivership; most assets and deposits sold to First Citizens Bank,,https://en.wikipedia.org/wiki/Silicon_Valley_Bank
Sky Dancers,sky-dancers,Toys/Games,US,1994,2000,Recalled in 2000 after 170 reported injuries; 8.9 million units pulled from shelves and never relaunched,"Toy fairy dolls with foam wings that launched spinning into the air via pull-string mechanism. Recalled by Galoob in 2000 after causing scratched corneas, broken teeth, facial lacerations, and mild concussions due to unpredictable flight patterns.",https://en.wikipedia.org/wiki/Sky_Dancers
SKYY Blue,skyy-blue-us,Alcoholic Beverages,US,2002,2004,"Faded from the U.S. market after a short commercial run, with Campari’s 2004 reporting marking the clearest sign of its decline.","SKYY Blue was a U.S. ready to drink flavored malt beverage tied to the SKYY brand and produced and distributed by SABMiller under a licensing arrangement with Skyy Spirits. Campari's financial reporting shows it emerging in 2002, generating royalty income in 2002 and 2003, and effectively disappearing from the U.S. business by 2004.",
Snapple Elements,snapple-elements,Beverages/Non-alcoholic,US,1999,Unclear; original line appears to have faded out in the early-to-mid 2000s,"Discontinued. Snapple Elements launched in 1999 and later disappeared from regular U.S. availability in the early-to-mid 2000s. The line still has a strong nostalgia following, but a full original-style relaunch has never happened.","Snapple Elements was a late-1990s Snapple line built around elemental branding, unusual fruit-forward flavors, and distinctive wide-mouth glass bottles. It stood apart from standard Snapple teas and juices and became one of the brand's most remembered side lines. Public sources consistently place the launch in 1999, but the exact end date is less clear. The safest way to describe it is that Snapple Elements faded from the market in the early-to-mid 2000s and survives mainly through nostalgia, collector interest, and fan requests for a return.",
Snapple Whipper Snapple,snapple-whipper-snapple,Beverages/Non-alcoholic,US,1998,1999,"Launched as a ready-to-drink fruit smoothie line in 1998; momentum into 1999, then phased out in the early 2000s.","A short-lived Snapple line of shelf-stable fruit smoothies introduced in 1998. Popular out of the gate, Whipper Snapple won trade awards but was discontinued soon after as the category shifted.",https://en.wikipedia.org/wiki/Snapple
SoBe (South Beach Beverage Co.),sobe,Beverages/Soft Drinks,US,1995,Present (limited U.S. availability),Acquired by PepsiCo in 2000; many SKUs discontinued over the 2010s–2020s. Brand persists with limited flavors/availability.,"Launched in the mid-1990s, SoBe rode herbal/functional trends with teas, juice blends, ‘Elixir’ bottles, and Y2K-era iconography (the lizard). PepsiCo bought the company in 2000; over time the lineup was pared back in the U.S. While numerous flavors quietly disappeared, SoBe hasn’t been formally retired—select products still appear via PepsiCo’s locator and regional distribution.",
Sparks (Original Caffeinated Formula),sparks-original,Alcoholic Beverages,US,2002,2008,"Reformulated in late 2008 after MillerCoors reached a settlement with state regulators. The original formula lost its caffeine, taurine, guarana, and ginseng, which effectively ended the classic version people remember.","Sparks was a caffeinated alcoholic malt drink launched in 2002 by McKenzie River Corporation. It became known for its bright orange can, energy-drink-style branding, and mix of alcohol with caffeine and other stimulant ingredients. In 2008, under growing regulatory pressure, MillerCoors agreed to remove those stimulant ingredients, ending the original formula.",
Star Wars Episode I Pepsi Collection,star-wars-episode-i-pepsi-cans-1999,Beverage/Promotions,US,1999,1999,Limited-time tie-in promotion; discontinued after campaign,"Pepsi’s 1999 tie-in for The Phantom Menace: 24 character cans with hidden phrases, rare gold Yoda prizes, and international variants.",https://en.wikipedia.org/wiki/Star_Wars:_Episode_I_%E2%80%93_The_Phantom_Menace
Talkboy,talkboy,Toys/Games,US,1992,late 1990s,Original Tiger Electronics line discontinued by the late 1990s/early 2000s as cassettes and gimmick recorders faded; no modern equivalent in production.,"A handheld cassette recorder made iconic by *Home Alone 2* (1992). Tiger Electronics turned the movie prop into a real product that could record, play back, and (on later models) change speed. Best-selling through the mid-1990s, the line ended as digital gadgets overtook cassette toys.",
The CSI Fingerprint Examination Kit,csi-fingerprint-kit,Toys/Games,US,2007,2007,Recalled in 2007 after powder found to contain up to 5% asbestos and permanently discontinued with no relaunch,Licensed CSI crime scene investigation toy kit for children that included fingerprint powder containing up to 5% asbestos. Recalled immediately upon discovery by CBS Consumer Products and Planet Toys in 2007. The carcinogenic contamination led to permanent discontinuation.,
Theranos,theranos,Healthcare/Diagnostics,US,2003,2018,Dissolved following regulatory actions and fraud charges; executives later convicted in U.S. federal court,Blood-testing startup that promised hundreds of tests from a finger-prick; unraveled after accuracy and regulatory failures led to shutdown and prosecutions.,https://en.wikipedia.org/wiki/Theranos
Tilt (Original Formula),tilt-original,Alcoholic Beverages,US,2005,2008,The original caffeinated Tilt formula was effectively discontinued in 2008 after Anheuser-Busch agreed with state attorneys general to stop producing caffeinated alcoholic beverages and reformulate Tilt without caffeine or other stimulant ingredients.,"Tilt launched in 2005 as an alcoholic energy drink from Anheuser-Busch. The original version mixed malt alcohol with caffeine, guarana, and ginseng and was sold in bright, energy-drink-style cans. In 2008, under pressure from state regulators, Anheuser-Busch agreed to stop producing caffeinated alcoholic drinks and reformulated Tilt, ending the original version. Later non-original Tilt products continued for a time in changed form.",
Tower Records,tower-records,Retail/Entertainment,US,1960,2006,Liquidation of U.S. operations following bankruptcy; international affiliates continued under separate ownership; later brand relaunch online,Iconic music retailer known for deep catalog and culture-first stores; U.S. chain liquidated in 2006 amid digital disruption and heavy debt.,https://en.wikipedia.org/wiki/Tower_Records
Toys “R” Us,toys-r-us,Retail,US,1948,2018,"After a 2017 Chapter 11 filing, the U.S. business entered liquidation in 2018 and closed hundreds of stores. The intellectual property was later acquired and relaunched by new owners with small-format stores and Macy’s shop-in-shops.","Founded by Charles Lazarus, Toys “R” Us grew from a post-war children’s furniture shop (1948) into the world’s best-known toy superstore chain. Following years of debt from a 2005 LBO and mounting competition from e-commerce and big-box retailers, the company filed for Chapter 11 in 2017 and liquidated its U.S. stores in 2018. The brand name lived on under new owners (Tru Kids, later with WHP Global), including online sales and shop-in-shop locations at Macy’s.",https://en.wikipedia.org/wiki/Toys_%22R%22_Us
Tuesday Morning,tuesday-morning,Retail/Home Goods,US,1974,2023,Liquidation following a second Chapter 11 filing; U.S. stores closed in 2023,"Off-price home-goods chain founded in 1974; known for closeout décor, linens, and kitchenware. Restructured in 2020, filed again in 2023, and liquidated its remaining U.S. stores.",https://en.wikipedia.org/wiki/Tuesday_Morning
TWA,twa,Travel/Airlines,US,1930,2001,Bankrupt and acquired in part. TWA entered bankruptcy and American Airlines announced in January 2001 that it would acquire most of TWA’s assets. The airline ceased operating as an independent carrier later that year.,"Trans World Airlines, originally formed in 1930 as Transcontinental & Western Air, became one of the best-known U.S. airlines of the 20th century. It was especially associated with coast-to-coast service, Howard Hughes, the Lockheed Constellation, and later international Jet Age travel. After decades of route expansion, corporate changes, and financial strain, TWA entered bankruptcy. American Airlines announced an agreement to acquire most of its assets in 2001, ending TWA as an independent airline.",
Wet Seal,wet-seal,Retail/Apparel,US,1962,2017,Filed Chapter 11 in 2015 and again in 2017; all brick-and-mortar stores closed in 2017. Brand later operated online under new ownership before going quiet/intermittent.,"Founded in 1962 (originally as a surf shop that evolved into junior fashion), Wet Seal became a mall staple in the 1990s–2000s and also owned Arden B and former Contempo Casuals locations. Debt, shrinking mall traffic, and fast-fashion competition led to Chapter 11 in 2015 and a second collapse in 2017, when all remaining stores closed and the brand shifted to online-only under new owners.",
Wirecard,wirecard,Finance/Payments,DE,1999,2020,Filed for insolvency on June 25 2020 after auditors confirmed 1.9 billion euros in reported cash reserves did not exist. Became the first company ever removed from Germany's DAX index due to insolvency. Assets were wound down under administrators. Former CEO Markus Braun remains on trial in Munich as of 2025. Former COO Jan Marsalek fled to Russia and was subsequently confirmed by a London court to have directed a Russian intelligence spy network across Europe.,,
Woolworth (US),woolworth-us,Retail,US,1879,1997,Converted/closed,"America’s original five-and-dime chain shut its last U.S. stores in 1997. The corporate shell became **Venator Group** and later **Foot Locker, Inc.**, which still operates today. **Fun fact:** founder Frank W. Woolworth’s namesake **Woolworth Building** (opened 1913) was famously said to be paid **in cash from nickels and dimes**—a nod to the chain’s low-price roots.",
Yahoo! Messenger,yahoo-messenger,Software/Internet,US,1998,2018,"Yahoo! Messenger was discontinued in July 2018 after two decades online. It lost relevance as messaging moved to smartphones, social platforms, and security-focused apps, but it remains one of the most culturally memorable products of the early consumer internet.","Yahoo! Messenger was one of the foundational instant messengers of the late 1990s and 2000s. Originally launched as Yahoo! Pager, it evolved into a feature-heavy platform with buddy lists, custom status messages, webcam chat, file transfer, chat rooms, Audibles, and Buzz. For many users, it was not just a utility but a social stage: the place where online identity, flirting, friendships, and workplace mischief all blended together. Yahoo eventually struggled to modernize as communication shifted toward mobile-first and encrypted products, and the service shut down in 2018. What makes Yahoo! Messenger especially strong from a content perspective is that it sits at the intersection of internet history, software nostalgia, and digital culture memory.",
Yamaha RX100,yamaha-rx100,Motorcycles/Automotive,IN,1985,1996,"Production ended in 1996 as India's tightening emissions regulations and industry shift toward cleaner 4-stroke engines made the RX100 obsolete. Yet the bike endured in the aftermarket and collector scene, celebrated as a modern classic. In 2024, Yamaha revived the RX100 nameplate as a modern reinterpretation—a contemporary 4-stroke engine with modern safety and emissions compliance. While it carries the legendary name, the new RX100 is fundamentally different from the original 1985–1996 two-stroke, proving that some icons inspire rather than replicate.","The **Yamaha RX100** was a nimble, air-cooled **98cc two-stroke** that ruled Indian roads from **1985 to 1996** via Escorts Yamaha. Deceptively simple—responsive 4-speed gearbox, lightweight frame, spark-plug-simple engineering—it delivered the kind of visceral riding experience that horsepower charts couldn't capture. Contemporary road tests and enthusiast accounts consistently cite **~14–15 second quarter-mile runs**, a figure that exemplified the RX100's exceptional **power-to-weight ratio** and made it legendary among commuters and weekend riders alike. The bike's lively 2-stroke exhaust note became part of its identity, a mechanical soundtrack that announced 'fun' before you even twisted the throttle. By **1996**, tightening **emission standards** and the industry's pivot toward **4-stroke efficiency** ended RX100 production in India. Yet the RX100 never truly disappeared—it became the motorcycle that proved motorcycling joy isn't measured in cubic centimeters. Today, decades later, the RX100 survives in restoration scenes, enthusiast forums, and weekend rides across India and beyond, celebrated as the bike that captured an era when simplicity, reliability, and pure performance synergy defined the two-wheeler experience.",
Yogos,yogos,Food/CPG,US,2005,2010,"Discontinued in the U.S. around 2010 after just five years on shelves. Despite fervent fan campaigns and Change.org petitions, Kellogg's has never officially brought them back. Yogos remain a cultural artifact of early 2000s snack innovation and a lesson in how even beloved products can vanish.","**Yogos** were Kellogg's audacious mid-2000s snack innovation: bite-size fruit centers wrapped in a tangy yogurt-style coating, sold in single-serve pouches aimed squarely at kids. Launched in **2005** with heavy TV advertising that made them instantly iconic, Yogos combined the texture novelty kids craved with familiar fruit snack appeal. The line expanded to **Yogos Bits** in **2007**—a mini format that fans still clamor for today. By **2010**, however, Yogos had vanished from shelves, a victim of portfolio consolidation, changing parental preferences toward transparent ingredients, and the snack industry's relentless churn. What made Yogos remarkable wasn't just their unique taste—it was their meteoric rise and equally swift disappearance, cementing them as one of the 2000s' most missed discontinued snacks. Today, fan campaigns like Change.org petitions keep the legend alive, proving that some products transcend their brief shelf life to become cultural touchstones.",
Zandar (G.I. Joe action figure),zandar-gi-joe,Toys/Games,US,1986,1990s (feature retired),The original 1986 figure's UV color-change effect was a cornerstone of the legendary color-change trio. Later releases kept the character but phased out the sunlight transformation as durability and manufacturing standards evolved. Yet Zandar v1 remains iconic for being part of one of the 80s' most memorable toy innovations.,"Introduced in **1986** for *G.I. Joe: A Real American Hero*, **Zandar** (Zartan's brother and a **Dreadnok**) featured **UV-reactive plastic** so that exposed 'skin' **shifted to a bluish tone in sunlight**—a signature innovation that completed the legendary color-change trio with Zartan and Zarana. This wasn't just visual; kids could test it instantly on the playground, making Zandar an unforgettable part of 80s toy culture. Packed with covert-ops gear befitting his swamp-raider Dreadnok aesthetic, he reinforced the clan's infiltrator identity. By the **1990s**, the UV color-change feature was phased out as manufacturing standards and durability concerns shifted focus, but Zandar remained in Hasbro's lineup through the **2000s and beyond**. Modern versions emphasize sculpt and articulation, yet the original 1986 release remains iconic—a testament to 80s toy innovation when such features defined a figure's legacy.",
Zarana (G.I. Joe action figure),zarana-gi-joe,Toys/Games,US,1986,1990s (feature retired),The original 1986 figure's UV color-change effect was a standout feature in the Dreadnok trio. Later releases kept the character but phased out the sunlight transformation as durability and manufacturing standards evolved. Yet Zarana v1 remains iconic for being part of one of the 80s' most memorable toy innovations.,"Debuting in **1986** for *G.I. Joe: A Real American Hero*, **Zarana** (Zartan's sister and a **Dreadnok**) featured **UV-reactive plastic** so that exposed 'skin' **turned bluish in sunlight**—a signature innovation shared with her brother Zartan and cousin Zandar. This color-shift effect wasn't just visual; kids could demo it instantly on the playground, making the trio an unforgettable part of 80s toy culture. Zarana shipped with gear befitting her punk-inspired Dreadnok aesthetic, reinforcing the clan's infiltrator identity. By the **1990s**, the UV color-change feature was phased out as manufacturing standards and durability concerns shifted focus, but Zarana remained in Hasbro's lineup through the **2000s and beyond**. Modern versions emphasize sculpt and articulation, yet the original 1986 release remains iconic—a testament to 80s toy innovation when such features defined a figure's legacy.",
Zartan (G.I. Joe action figure),zartan-gi-joe,Toys/Games,US,1984,1990s (feature retired),"The original 1980s figure's groundbreaking UV color-change gimmick was phased out by the 1990s due to material durability tradeoffs. The character endures in modern G.I. Joe lines without the photochromic effect, but the 1984 version remains a nostalgia icon for its transformative playground appeal.","Hasbro's **Zartan** debuted in **1984** for *G.I. Joe: A Real American Hero* with a groundbreaking innovation: his exposed 'skin' plastic shifted to a **bluish** tone in **sunlight (UV exposure)**. This wasn't just visual—kids could test it on the playground in real-time, making Zartan one of the most memorable figures of the era. He shipped as a deluxe package with the **Chameleon Swamp Skier**, removable mask, and chest armor, reinforcing his infiltrator identity. By the **1990s**, the UV color-change feature was phased out as safety and durability standards evolved, but Zartan remained in Hasbro's lineup through the **2000s and beyond**. Modern versions emphasize sculpt and articulation, yet the original 1984 release remains iconic—a reminder of 80s toy innovation when such features were as important as the figure itself.",
Zima,zima,Beverages/Alcohol,US,1993,2008,U.S. discontinuation in 2008 after declining sales; brief limited revivals in 2017 and 2018. Zima returned in Japan in 2023 after a hiatus.,"A clear, citrus-leaning malt beverage introduced by Coors in 1993 with the slogan ""Zomething Different."" Zima became a massive pop-culture phenomenon in 1994, peaking at 1.2 million barrels sold. However, David Letterman's relentless on-air ridicule between 1993–1994 severely damaged its brand image, and mounting competition from copycat brands led to sharp sales decline. Zima was discontinued in the U.S. in October 2008. The brand made brief nostalgic returns in 2017 and 2018, confirming its cult status.",https://en.wikipedia.org/wiki/Zima_(drink)
Zune,zune,Consumer electronics/MP3 Players,US,2006,2012,Microsoft ended new Zune hardware development in 2011 and replaced Zune branded music services with Xbox Music in 2012.,"Zune was Microsoft's digital media brand spanning portable players, desktop software, an online marketplace, and the Zune Pass subscription. It launched in 2006, expanded across hardware and services through the late 2000s, and reached its strongest critical moment with the Zune HD in 2009. Microsoft stopped making new Zune hardware in 2011, then transitioned Zune's music services into Xbox Music in 2012.",
